movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,quantity,gross_weight,net_weight,stone_weight,fine_weight,purity,location_to,value,gold_rate_used,created_at,huid,item_name,category,purity_item,gross_weight_item,net_weight_item,stone_weight_item,fine_weight_item,pieces,design_code,certificate_no,supplier_id,location,slab_id,created_at_item,account_name,account_type,credit_terms,contact,slab_label,product_category,store,item_label_no,item_huid,item_item_name,item_category,item_purity,item_gross_weight,item_net_weight,item_stone_weight,item_fine_weight,item_pieces,item_design_code,item_certificate_no,item_supplier_id,item_location,item_slab_id,item_created_at,acct_account_id,customer_name,customer_type,customer_credit_terms,customer_contact,month,week,day_of_week,is_weekend,is_festival_period,min_wt,max_wt,price_per_gram,relative_price
11,V10010,2025-08-02,SALE,29,LBL00194,1.0,3.306,2.789,0.202,2.555,916,MAIN_STORE,18577.86,5509.15,2025-08-02,H746910,RING LBL00194,RING,916.0,3.402,3.05,0.121,2.794,1.0,DES5227,,5011.0,MAIN_STORE,7,2025-11-24 11:50:05.383699,Customer_29,Customer,Net 15,919719748617.0,2–5 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,2,5.0,6661.116292177736,0.9866973558849819
12,V10011,2025-08-02,SALE,47,LBL00143,1.0,7.359,7.296,0.001,6.683,916,MAIN_STORE,39951.92,5608.65,2025-08-02,H661916,EARRING LBL00143,EARRING,916.0,7.302,7.115,0.0,6.518,1.0,DES1306,,5006.0,MAIN_STORE,16,2025-11-24 11:50:05.249802,Customer_47,Customer,Net 30,917664494972.0,5–10 GM,GOLD EARRING,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,5,10.0,5475.8654775403675,1.0045179610437733
13,V10012,2025-08-02,SALE,96,LBL00173,1.0,19.598,19.191,0.038,17.579,916,MAIN_STORE,106153.8,5681.56,2025-08-02,H434652,BRACELET LBL00173,BRACELET,916.0,19.598,19.191,0.025,17.579,1.0,DES8227,,5003.0,MAIN_STORE,20,2025-11-24 11:50:05.332246,Customer_96,Customer,Net 15,919801385697.0,15–30 GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,15,30.0,5531.4363226806145,1.017576255738522
14,V10013,2025-08-02,SALE,30,LBL00173,1.0,17.1,16.812,0.088,15.4,916,MAIN_STORE,97630.04,5626.41,2025-08-02,H434652,BRACELET LBL00173,BRACELET,916.0,19.598,19.191,0.025,17.579,1.0,DES8227,,5003.0,MAIN_STORE,20,2025-11-24 11:50:05.332246,Customer_30,Customer,Net 15,918389211119.0,15–30 GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,15,30.0,5807.163585108042,1.007698804738448
15,V10014,2025-08-02,SALE,83,LBL00057,1.0,9.097,9.05,0.045,5.294,585,MAIN_STORE,31232.22,5441.07,2025-08-02,H913920,PENDANT LBL00057,PENDANT,585.0,9.726,9.45,0.019,5.528,1.0,DES1685,,5019.0,MAIN_STORE,10,2025-11-24 11:50:05.016711,Customer_83,Customer,Net 0,917953850512.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,0,10.0,3451.073651815066,0.974504121722062
16,V10015,2025-08-02,SALE,6,LBL00036,1.0,29.81,29.242,0.02,26.786,916,MAIN_STORE,148662.92,5308.03,2025-08-02,H293079,CHAIN LBL00036,CHAIN,916.0,31.068,31.051,0.016,28.443,1.0,DES6203,,5004.0,MAIN_STORE,4,2025-11-24 11:50:04.965657,Customer_6,Customer,Net 15,917334729865.0,20–50 GM,GOLD CHAINS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,20,50.0,5083.8832814484895,0.9506764502615032
17,V10016,2025-08-02,SALE,18,LBL00138,1.0,7.06,6.821,0.013,6.248,916,MAIN_STORE,40282.24,5756.35,2025-08-02,H604884,PENDANT LBL00138,PENDANT,916.0,7.459,6.938,0.004,6.355,1.0,DES3545,,5014.0,MAIN_STORE,10,2025-11-24 11:50:05.238528,Customer_18,Customer,Net 15,919896923497.0,0–10 GM,GOLD NECKLACE,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,0,10.0,5905.620010904558,1.030971261364914
18,V10017,2025-08-02,SALE,76,LBL00108,1.0,19.055,18.607,0.0,17.044,916,MAIN_STORE,107066.64,5693.27,2025-08-02,H197649,BRACELET LBL00108,BRACELET,916.0,19.342,19.018,0.018,17.42,1.0,DES5903,,5010.0,MAIN_STORE,20,2025-11-24 11:50:05.165490,Customer_76,Customer,Net 0,918403731150.0,15–30 GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,5,1,0,15,30.0,5754.105134943562,1.0196735349989183
19,V10018,2025-08-03,SALE,36,LBL00241,1.0,57.683,57.654,0.004,33.728,585,MAIN_STORE,195166.2,5542.96,2025-08-03,H240800,NECKLACE LBL00241,NECKLACE,585.0,60.793,60.51,0.002,35.398,1.0,DES1190,,5002.0,MAIN_STORE,13,2025-11-24 11:50:05.499098,Customer_36,Customer,Net 15,918705490992.0,40+ GM,GOLD NECKLACE,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,40,15.0,3385.12846662628,0.9927527796077833
20,V10019,2025-08-03,SALE,13,LBL00093,1.0,12.012,11.423,0.011,8.567,750,MAIN_STORE,53752.68,5924.16,2025-08-03,H617437,EARRING LBL00093,EARRING,750.0,13.3,13.02,0.014,9.765,1.0,DES4897,,5006.0,MAIN_STORE,17,2025-11-24 11:50:05.126499,Customer_13,Customer,Net 0,919448250186.0,10+ GM,GOLD EARRING,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,10,15.0,4705.653094138747,1.0610262940452837
21,V10020,2025-08-03,SALE,36,LBL00102,1.0,33.833,33.711,0.0,30.879,916,MAIN_STORE,184776.47,5814.3,2025-08-03,H978721,BANGLE LBL00102,BANGLE,916.0,30.884,30.814,0.057,28.226,1.0,DES5889,,5010.0,MAIN_STORE,21,2025-11-24 11:50:05.150463,Customer_36,Customer,Net 15,918705490992.0,30+ GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,30,15.0,5481.19202986586,1.0413501967312653
22,V10021,2025-08-03,SALE,83,LBL00055,1.0,3.056,2.669,0.0,2.445,916,MAIN_STORE,14946.21,5463.46,2025-08-03,H613742,RING LBL00055,RING,916.0,3.24,3.035,0.008,2.78,1.0,DES6323,,5014.0,MAIN_STORE,7,2025-11-24 11:50:05.011812,Customer_83,Customer,Net 0,917953850512.0,2–5 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,2,5.0,5599.926714152598,0.9785142056366887
23,V10022,2025-08-03,SALE,73,LBL00202,1.0,45.05,44.919,0.021,26.278,585,MAIN_STORE,156796.37,5379.41,2025-08-03,H207932,CHAIN LBL00202,CHAIN,585.0,45.672,45.365,0.046,26.538,1.0,DES7646,,5003.0,MAIN_STORE,4,2025-11-24 11:50:05.404225,Customer_73,Customer,Net 15,919252209366.0,20–50 GM,GOLD CHAINS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,20,50.0,3490.646864564063,0.9634607195703929
24,V10023,2025-08-03,SALE,100,LBL00085,1.0,52.007,51.91,0.0,47.55,916,MAIN_STORE,287202.72,5838.76,2025-08-03,H251631,CHAIN LBL00085,CHAIN,916.0,54.231,53.644,0.057,49.138,1.0,DES3930,,5001.0,MAIN_STORE,5,2025-11-24 11:50:05.103591,Customer_100,Customer,Net 0,918040735415.0,50+ GM,GOLD CHAINS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,50,15.0,5532.704959878541,1.0457310208738184
25,V10024,2025-08-03,SALE,70,LBL00034,1.0,30.211,30.053,0.0,22.54,750,MAIN_STORE,136106.28,5844.51,2025-08-03,H265725,BANGLE LBL00034,BANGLE,750.0,30.733,30.526,0.003,22.895,1.0,DES6201,,5002.0,MAIN_STORE,21,2025-11-24 11:50:04.960208,Customer_70,Customer,Net 30,917049110293.0,30+ GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,30,15.0,4528.874836825779,1.0467608548402814
26,V10025,2025-08-03,SALE,102,LBL00092,1.0,11.441,10.966,0.032,10.045,916,MAIN_STORE,55572.94,5349.59,2025-08-03,H669902,EARRING LBL00092,EARRING,916.0,11.102,10.966,0.016,10.045,1.0,DES1094,,5019.0,MAIN_STORE,17,2025-11-24 11:50:05.123491,Customer_102,Customer,Net 15,918389042400.0,10+ GM,GOLD EARRING,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,31,6,1,0,10,15.0,5067.748945125941,0.9581199110695371
27,V10026,2025-08-04,SALE,15,LBL00135,1.0,9.915,9.465,0.022,8.67,916,MAIN_STORE,51648.56,5483.86,2025-08-04,H303440,PENDANT LBL00135,PENDANT,916.0,11.01,10.61,0.082,9.718,1.0,DES6415,,5010.0,MAIN_STORE,11,2025-11-24 11:50:05.230497,Customer_15,Customer,Net 30,919397199956.0,10–20 GM,GOLD NECKLACE,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,10,20.0,5456.793929551619,0.9821678774481393
28,V10027,2025-08-04,SALE,65,LBL00116,1.0,46.848,46.707,0.004,35.03,750,MAIN_STORE,224331.15,5785.01,2025-08-04,H699121,CHAIN LBL00116,CHAIN,750.0,46.861,46.676,0.023,35.007,1.0,DES9666,,5002.0,MAIN_STORE,4,2025-11-24 11:50:05.185606,Customer_65,Customer,Net 15,917337057834.0,20–50 GM,GOLD CHAINS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,20,50.0,4802.944851886337,1.0361043120568834
29,V10028,2025-08-04,SALE,39,LBL00134,1.0,43.795,43.515,0.0,39.86,916,MAIN_STORE,235270.4,5567.47,2025-08-04,H515287,BANGLE LBL00134,BANGLE,916.0,43.795,43.515,0.0,39.86,1.0,DES1477,,5005.0,MAIN_STORE,21,2025-11-24 11:50:05.227507,Customer_39,Customer,Net 0,919223115272.0,30+ GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,30,15.0,5406.65045601171,0.9971425588283057
30,V10029,2025-08-04,SALE,14,LBL00176,1.0,28.341,28.042,0.004,16.405,585,MAIN_STORE,93728.86,5282.77,2025-08-04,H753205,BRACELET LBL00176,BRACELET,585.0,28.818,28.392,0.032,16.61,1.0,DES9422,,5003.0,MAIN_STORE,20,2025-11-24 11:50:05.341200,Customer_14,Customer,Net 30,917768360597.0,15–30 GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,15,30.0,3342.445498094091,0.9461523448714423
31,V10030,2025-08-04,SALE,17,LBL00017,1.0,2.942,2.77,0.176,2.537,916,MAIN_STORE,18032.72,5734.19,2025-08-04,H880550,RING LBL00017,RING,916.0,2.942,2.77,0.176,2.537,1.0,DES3572,,5000.0,MAIN_STORE,7,2025-11-24 11:50:04.920603,Customer_17,Customer,Net 30,919476322069.0,2–5 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,2,5.0,6510.004870034343,1.0270023708089457
32,V10031,2025-08-04,SALE,68,LBL00153,1.0,62.165,61.981,0.061,56.775,916,MAIN_STORE,328704.57,5295.91,2025-08-04,H573858,CHAIN LBL00153,CHAIN,916.0,60.12,59.934,0.078,54.9,1.0,DES5958,,5006.0,MAIN_STORE,5,2025-11-24 11:50:05.275311,Customer_68,Customer,Net 15,917517717617.0,50+ GM,GOLD CHAINS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,50,15.0,5303.311735801105,0.948505739361759
33,V10032,2025-08-04,SALE,84,LBL00219,1.0,24.129,23.735,0.072,13.885,585,MAIN_STORE,80629.86,5378.74,2025-08-04,H618306,BANGLE LBL00219,BANGLE,585.0,24.129,23.735,0.024,13.885,1.0,DES2007,,5002.0,MAIN_STORE,20,2025-11-24 11:50:05.447058,Customer_84,Customer,Net 15,918244608630.0,15–30 GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,15,30.0,3397.0868591916214,0.9633407215256051
34,V10033,2025-08-04,SALE,53,LBL00059,1.0,8.524,8.314,0.02,4.864,585,MAIN_STORE,29684.47,5746.67,2025-08-04,H513296,RING LBL00059,RING,585.0,8.524,8.314,0.013,4.864,1.0,DES9784,,5016.0,MAIN_STORE,8,2025-11-24 11:50:05.021390,Customer_53,Customer,Net 0,918100558894.0,5–10 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,0,0,0,5,10.0,3570.419344428754,1.0292375582700688
35,V10034,2025-08-05,SALE,33,LBL00171,1.0,2.607,2.376,0.0,1.782,750,MAIN_STORE,10203.99,5564.1,2025-08-05,H436467,EARRING LBL00171,EARRING,750.0,2.577,2.316,0.076,1.738,1.0,DES4285,,5006.0,MAIN_STORE,15,2025-11-24 11:50:05.324604,Customer_33,Customer,Net 0,918610883633.0,2–5 GM,GOLD EARRING,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,1,0,0,2,5.0,4294.60677836415,0.9965389865731789
36,V10035,2025-08-05,SALE,12,LBL00022,1.0,4.115,3.85,0.222,2.888,750,MAIN_STORE,21364.19,5805.42,2025-08-05,H954441,RING LBL00022,RING,750.0,4.535,4.36,0.103,3.27,1.0,DES1482,,5017.0,MAIN_STORE,7,2025-11-24 11:50:04.932563,Customer_12,Customer,Net 30,919821263164.0,2–5 GM,GOLD RINGS,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,1,0,0,2,5.0,5549.138818405501,1.039759774883928
37,V10036,2025-08-05,SALE,72,LBL00151,1.0,31.473,31.132,0.037,28.517,916,MAIN_STORE,170283.56,5477.82,2025-08-05,H384685,BANGLE LBL00151,BANGLE,916.0,31.975,31.574,0.06,28.922,1.0,DES7780,,5002.0,MAIN_STORE,21,2025-11-24 11:50:05.268794,Customer_72,Customer,Net 15,917232477787.0,30+ GM,GOLD BRACELET,MAIN_STORE,LBL00067,H517375,PENDANT LBL00067,BANGLE,916.0,12.023,11.79,0.02,9.765,1.0,DES5989,,5009.0,MAIN_STORE,13.0,2025-11-24 11:50:05.046071,61.0,Customer_76,Customer,Net 30,918403731150.0,8,32,1,0,0,30,15.0,5469.7274357661745,0.9810861040294548
