movement_id,voucher_no,voucher_date,movement_type,account_id,label_no,quantity,gross_weight,net_weight,stone_weight,fine_weight,purity,location_to,value,gold_rate_used,created_at,huid,item_name,category,purity_item,gross_weight_item,net_weight_item,stone_weight_item,fine_weight_item,pieces,design_code,certificate_no,supplier_id,location,slab_id,created_at_item,account_name,account_type,credit_terms,contact,slab_label,product_category,store
11,V10010,2025-08-02,SALE,29,LBL00194,1,3.306,2.789,0.202,2.555,916,MAIN_STORE,18577.86,5509.15,2025-08-02,H746910,RING LBL00194,RING,916,3.402,3.05,0.121,2.794,1,DES5227,,5011,MAIN_STORE,7,2025-11-24 11:50:05.383699,Customer_29,Customer,Net 15,+919719748617,2–5 GM,GOLD RINGS,MAIN_STORE
12,V10011,2025-08-02,SALE,47,LBL00143,1,7.359,7.296,0.001,6.683,916,MAIN_STORE,39951.92,5608.65,2025-08-02,H661916,EARRING LBL00143,EARRING,916,7.302,7.115,0.0,6.518,1,DES1306,,5006,MAIN_STORE,16,2025-11-24 11:50:05.249802,Customer_47,Customer,Net 30,+917664494972,5–10 GM,GOLD EARRING,MAIN_STORE
13,V10012,2025-08-02,SALE,96,LBL00173,1,19.598,19.191,0.038,17.579,916,MAIN_STORE,106153.8,5681.56,2025-08-02,H434652,BRACELET LBL00173,BRACELET,916,19.598,19.191,0.025,17.579,1,DES8227,,5003,MAIN_STORE,20,2025-11-24 11:50:05.332246,Customer_96,Customer,Net 15,+919801385697,15–30 GM,GOLD BRACELET,MAIN_STORE
14,V10013,2025-08-02,SALE,30,LBL00173,1,17.1,16.812,0.088,15.4,916,MAIN_STORE,97630.04,5626.41,2025-08-02,H434652,BRACELET LBL00173,BRACELET,916,19.598,19.191,0.025,17.579,1,DES8227,,5003,MAIN_STORE,20,2025-11-24 11:50:05.332246,Customer_30,Customer,Net 15,+918389211119,15–30 GM,GOLD BRACELET,MAIN_STORE
15,V10014,2025-08-02,SALE,83,LBL00057,1,9.097,9.05,0.045,5.294,585,MAIN_STORE,31232.22,5441.07,2025-08-02,H913920,PENDANT LBL00057,PENDANT,585,9.726,9.45,0.019,5.528,1,DES1685,,5019,MAIN_STORE,10,2025-11-24 11:50:05.016711,Customer_83,Customer,Net 0,+917953850512,0–10 GM,GOLD NECKLACE,MAIN_STORE
16,V10015,2025-08-02,SALE,6,LBL00036,1,29.81,29.242,0.02,26.786,916,MAIN_STORE,148662.92,5308.03,2025-08-02,H293079,CHAIN LBL00036,CHAIN,916,31.068,31.051,0.016,28.443,1,DES6203,,5004,MAIN_STORE,4,2025-11-24 11:50:04.965657,Customer_6,Customer,Net 15,+917334729865,20–50 GM,GOLD CHAINS,MAIN_STORE
17,V10016,2025-08-02,SALE,18,LBL00138,1,7.06,6.821,0.013,6.248,916,MAIN_STORE,40282.24,5756.35,2025-08-02,H604884,PENDANT LBL00138,PENDANT,916,7.459,6.938,0.004,6.355,1,DES3545,,5014,MAIN_STORE,10,2025-11-24 11:50:05.238528,Customer_18,Customer,Net 15,+919896923497,0–10 GM,GOLD NECKLACE,MAIN_STORE
18,V10017,2025-08-02,SALE,76,LBL00108,1,19.055,18.607,0.0,17.044,916,MAIN_STORE,107066.64,5693.27,2025-08-02,H197649,BRACELET LBL00108,BRACELET,916,19.342,19.018,0.018,17.42,1,DES5903,,5010,MAIN_STORE,20,2025-11-24 11:50:05.165490,Customer_76,Customer,Net 0,+918403731150,15–30 GM,GOLD BRACELET,MAIN_STORE
19,V10018,2025-08-03,SALE,36,LBL00241,1,57.683,57.654,0.004,33.728,585,MAIN_STORE,195166.2,5542.96,2025-08-03,H240800,NECKLACE LBL00241,NECKLACE,585,60.793,60.51,0.002,35.398,1,DES1190,,5002,MAIN_STORE,13,2025-11-24 11:50:05.499098,Customer_36,Customer,Net 15,+918705490992,40+ GM,GOLD NECKLACE,MAIN_STORE
20,V10019,2025-08-03,SALE,13,LBL00093,1,12.012,11.423,0.011,8.567,750,MAIN_STORE,53752.68,5924.16,2025-08-03,H617437,EARRING LBL00093,EARRING,750,13.3,13.02,0.014,9.765,1,DES4897,,5006,MAIN_STORE,17,2025-11-24 11:50:05.126499,Customer_13,Customer,Net 0,+919448250186,10+ GM,GOLD EARRING,MAIN_STORE
21,V10020,2025-08-03,SALE,36,LBL00102,1,33.833,33.711,0.0,30.879,916,MAIN_STORE,184776.47,5814.3,2025-08-03,H978721,BANGLE LBL00102,BANGLE,916,30.884,30.814,0.057,28.226,1,DES5889,,5010,MAIN_STORE,21,2025-11-24 11:50:05.150463,Customer_36,Customer,Net 15,+918705490992,30+ GM,GOLD BRACELET,MAIN_STORE
22,V10021,2025-08-03,SALE,83,LBL00055,1,3.056,2.669,0.0,2.445,916,MAIN_STORE,14946.21,5463.46,2025-08-03,H613742,RING LBL00055,RING,916,3.24,3.035,0.008,2.78,1,DES6323,,5014,MAIN_STORE,7,2025-11-24 11:50:05.011812,Customer_83,Customer,Net 0,+917953850512,2–5 GM,GOLD RINGS,MAIN_STORE
23,V10022,2025-08-03,SALE,73,LBL00202,1,45.05,44.919,0.021,26.278,585,MAIN_STORE,156796.37,5379.41,2025-08-03,H207932,CHAIN LBL00202,CHAIN,585,45.672,45.365,0.046,26.538,1,DES7646,,5003,MAIN_STORE,4,2025-11-24 11:50:05.404225,Customer_73,Customer,Net 15,+919252209366,20–50 GM,GOLD CHAINS,MAIN_STORE
24,V10023,2025-08-03,SALE,100,LBL00085,1,52.007,51.91,0.0,47.55,916,MAIN_STORE,287202.72,5838.76,2025-08-03,H251631,CHAIN LBL00085,CHAIN,916,54.231,53.644,0.057,49.138,1,DES3930,,5001,MAIN_STORE,5,2025-11-24 11:50:05.103591,Customer_100,Customer,Net 0,+918040735415,50+ GM,GOLD CHAINS,MAIN_STORE
25,V10024,2025-08-03,SALE,70,LBL00034,1,30.211,30.053,0.0,22.54,750,MAIN_STORE,136106.28,5844.51,2025-08-03,H265725,BANGLE LBL00034,BANGLE,750,30.733,30.526,0.003,22.895,1,DES6201,,5002,MAIN_STORE,21,2025-11-24 11:50:04.960208,Customer_70,Customer,Net 30,+917049110293,30+ GM,GOLD BRACELET,MAIN_STORE
26,V10025,2025-08-03,SALE,102,LBL00092,1,11.441,10.966,0.032,10.045,916,MAIN_STORE,55572.94,5349.59,2025-08-03,H669902,EARRING LBL00092,EARRING,916,11.102,10.966,0.016,10.045,1,DES1094,,5019,MAIN_STORE,17,2025-11-24 11:50:05.123491,Customer_102,Customer,Net 15,+918389042400,10+ GM,GOLD EARRING,MAIN_STORE
27,V10026,2025-08-04,SALE,15,LBL00135,1,9.915,9.465,0.022,8.67,916,MAIN_STORE,51648.56,5483.86,2025-08-04,H303440,PENDANT LBL00135,PENDANT,916,11.01,10.61,0.082,9.718,1,DES6415,,5010,MAIN_STORE,11,2025-11-24 11:50:05.230497,Customer_15,Customer,Net 30,+919397199956,10–20 GM,GOLD NECKLACE,MAIN_STORE
28,V10027,2025-08-04,SALE,65,LBL00116,1,46.848,46.707,0.004,35.03,750,MAIN_STORE,224331.15,5785.01,2025-08-04,H699121,CHAIN LBL00116,CHAIN,750,46.861,46.676,0.023,35.007,1,DES9666,,5002,MAIN_STORE,4,2025-11-24 11:50:05.185606,Customer_65,Customer,Net 15,+917337057834,20–50 GM,GOLD CHAINS,MAIN_STORE
29,V10028,2025-08-04,SALE,39,LBL00134,1,43.795,43.515,0.0,39.86,916,MAIN_STORE,235270.4,5567.47,2025-08-04,H515287,BANGLE LBL00134,BANGLE,916,43.795,43.515,0.0,39.86,1,DES1477,,5005,MAIN_STORE,21,2025-11-24 11:50:05.227507,Customer_39,Customer,Net 0,+919223115272,30+ GM,GOLD BRACELET,MAIN_STORE
30,V10029,2025-08-04,SALE,14,LBL00176,1,28.341,28.042,0.004,16.405,585,MAIN_STORE,93728.86,5282.77,2025-08-04,H753205,BRACELET LBL00176,BRACELET,585,28.818,28.392,0.032,16.61,1,DES9422,,5003,MAIN_STORE,20,2025-11-24 11:50:05.341200,Customer_14,Customer,Net 30,+917768360597,15–30 GM,GOLD BRACELET,MAIN_STORE
31,V10030,2025-08-04,SALE,17,LBL00017,1,2.942,2.77,0.176,2.537,916,MAIN_STORE,18032.72,5734.19,2025-08-04,H880550,RING LBL00017,RING,916,2.942,2.77,0.176,2.537,1,DES3572,,5000,MAIN_STORE,7,2025-11-24 11:50:04.920603,Customer_17,Customer,Net 30,+919476322069,2–5 GM,GOLD RINGS,MAIN_STORE
32,V10031,2025-08-04,SALE,68,LBL00153,1,62.165,61.981,0.061,56.775,916,MAIN_STORE,328704.57,5295.91,2025-08-04,H573858,CHAIN LBL00153,CHAIN,916,60.12,59.934,0.078,54.9,1,DES5958,,5006,MAIN_STORE,5,2025-11-24 11:50:05.275311,Customer_68,Customer,Net 15,+917517717617,50+ GM,GOLD CHAINS,MAIN_STORE
33,V10032,2025-08-04,SALE,84,LBL00219,1,24.129,23.735,0.072,13.885,585,MAIN_STORE,80629.86,5378.74,2025-08-04,H618306,BANGLE LBL00219,BANGLE,585,24.129,23.735,0.024,13.885,1,DES2007,,5002,MAIN_STORE,20,2025-11-24 11:50:05.447058,Customer_84,Customer,Net 15,+918244608630,15–30 GM,GOLD BRACELET,MAIN_STORE
34,V10033,2025-08-04,SALE,53,LBL00059,1,8.524,8.314,0.02,4.864,585,MAIN_STORE,29684.47,5746.67,2025-08-04,H513296,RING LBL00059,RING,585,8.524,8.314,0.013,4.864,1,DES9784,,5016,MAIN_STORE,8,2025-11-24 11:50:05.021390,Customer_53,Customer,Net 0,+918100558894,5–10 GM,GOLD RINGS,MAIN_STORE
35,V10034,2025-08-05,SALE,33,LBL00171,1,2.607,2.376,0.0,1.782,750,MAIN_STORE,10203.99,5564.1,2025-08-05,H436467,EARRING LBL00171,EARRING,750,2.577,2.316,0.076,1.738,1,DES4285,,5006,MAIN_STORE,15,2025-11-24 11:50:05.324604,Customer_33,Customer,Net 0,+918610883633,2–5 GM,GOLD EARRING,MAIN_STORE
36,V10035,2025-08-05,SALE,12,LBL00022,1,4.115,3.85,0.222,2.888,750,MAIN_STORE,21364.19,5805.42,2025-08-05,H954441,RING LBL00022,RING,750,4.535,4.36,0.103,3.27,1,DES1482,,5017,MAIN_STORE,7,2025-11-24 11:50:04.932563,Customer_12,Customer,Net 30,+919821263164,2–5 GM,GOLD RINGS,MAIN_STORE
37,V10036,2025-08-05,SALE,72,LBL00151,1,31.473,31.132,0.037,28.517,916,MAIN_STORE,170283.56,5477.82,2025-08-05,H384685,BANGLE LBL00151,BANGLE,916,31.975,31.574,0.06,28.922,1,DES7780,,5002,MAIN_STORE,21,2025-11-24 11:50:05.268794,Customer_72,Customer,Net 15,+917232477787,30+ GM,GOLD BRACELET,MAIN_STORE
38,V10037,2025-08-05,SALE,55,LBL00193,1,8.29,7.768,0.015,7.115,916,MAIN_STORE,40844.21,5430.66,2025-08-05,H342948,EARRING LBL00193,EARRING,916,8.676,8.236,0.016,7.544,1,DES4666,,5004,MAIN_STORE,16,2025-11-24 11:50:05.381151,Customer_55,Customer,Net 30,+918717120387,5–10 GM,GOLD EARRING,MAIN_STORE
39,V10038,2025-08-05,SALE,74,LBL00027,1,7.72,7.411,0.0,6.788,916,MAIN_STORE,37682.4,5385.34,2025-08-05,H352036,PENDANT LBL00027,PENDANT,916,8.479,8.161,0.132,7.475,1,DES3502,,5013,MAIN_STORE,10,2025-11-24 11:50:04.944800,Customer_74,Customer,Net 0,+918371454094,0–10 GM,GOLD NECKLACE,MAIN_STORE
40,V10039,2025-08-05,SALE,72,LBL00217,1,3.444,3.217,0.011,2.413,750,MAIN_STORE,15628.89,5802.16,2025-08-05,H172988,PENDANT LBL00217,PENDANT,750,3.372,3.139,0.006,2.354,1,DES2781,,5019,MAIN_STORE,10,2025-11-24 11:50:05.441947,Customer_72,Customer,Net 15,+917232477787,0–10 GM,GOLD NECKLACE,MAIN_STORE
41,V10040,2025-08-05,SALE,99,LBL00250,1,23.703,23.21,0.067,21.26,916,MAIN_STORE,130222.72,5623.07,2025-08-05,H545405,CHAIN LBL00250,CHAIN,916,23.412,22.944,0.054,21.016,1,DES1121,,5018,MAIN_STORE,4,2025-11-24 11:50:05.521337,Customer_99,Customer,Net 30,+919251627092,20–50 GM,GOLD CHAINS,MAIN_STORE
42,V10041,2025-08-06,SALE,24,LBL00008,1,6.518,6.347,0.018,5.814,916,MAIN_STORE,33321.64,5475.98,2025-08-06,H213132,BANGLE LBL00008,BANGLE,916,6.58,6.38,0.032,5.844,1,DES1312,,5009,MAIN_STORE,19,2025-11-24 11:50:04.898521,Customer_24,Customer,Net 30,+917679362694,5–15 GM,GOLD BRACELET,MAIN_STORE
43,V10042,2025-08-06,SALE,73,LBL00037,1,66.907,66.509,0.0,38.908,585,MAIN_STORE,226004.15,5677.72,2025-08-06,H862398,NECKLACE LBL00037,NECKLACE,585,66.907,66.509,0.009,38.908,1,DES1483,,5010,MAIN_STORE,13,2025-11-24 11:50:04.968295,Customer_73,Customer,Net 15,+919252209366,40+ GM,GOLD NECKLACE,MAIN_STORE
44,V10043,2025-08-06,SALE,68,LBL00192,1,5.772,5.635,0.023,5.162,916,MAIN_STORE,29307.12,5337.55,2025-08-06,H817727,RING LBL00192,RING,916,5.634,5.45,0.008,4.992,1,DES8625,,5015,MAIN_STORE,8,2025-11-24 11:50:05.378425,Customer_68,Customer,Net 15,+917517717617,5–10 GM,GOLD RINGS,MAIN_STORE
45,V10044,2025-08-06,SALE,100,LBL00084,1,5.354,4.789,0.008,3.592,750,MAIN_STORE,19698.95,5262.62,2025-08-06,H692960,RING LBL00084,RING,750,5.506,5.306,0.022,3.979,1,DES3459,,5005,MAIN_STORE,8,2025-11-24 11:50:05.100188,Customer_100,Customer,Net 0,+918040735415,5–10 GM,GOLD RINGS,MAIN_STORE
46,V10045,2025-08-06,SALE,7,LBL00159,1,2.541,2.133,0.009,1.6,750,MAIN_STORE,9693.93,5528.17,2025-08-06,H261562,EARRING LBL00159,EARRING,750,2.541,2.237,0.078,1.678,1,DES4116,,5010,MAIN_STORE,15,2025-11-24 11:50:05.292267,Customer_7,Customer,Net 0,+919231172272,2–5 GM,GOLD EARRING,MAIN_STORE
47,V10046,2025-08-06,SALE,35,LBL00107,1,13.95,13.813,0.011,10.36,750,MAIN_STORE,60250.31,5532.39,2025-08-06,H885734,NECKLACE LBL00107,NECKLACE,750,14.04,13.718,0.01,10.289,1,DES6901,,5001,MAIN_STORE,11,2025-11-24 11:50:05.163016,Customer_35,Customer,Net 15,+918943058119,10–20 GM,GOLD NECKLACE,MAIN_STORE
48,V10047,2025-08-07,SALE,86,LBL00135,1,11.327,11.135,0.0,10.2,916,MAIN_STORE,58863.55,5653.52,2025-08-07,H303440,PENDANT LBL00135,PENDANT,916,11.01,10.61,0.082,9.718,1,DES6415,,5010,MAIN_STORE,11,2025-11-24 11:50:05.230497,Customer_86,Customer,Net 0,+918443831341,10–20 GM,GOLD NECKLACE,MAIN_STORE
49,V10048,2025-08-07,SALE,28,LBL00078,1,10.842,10.379,0.006,9.507,916,MAIN_STORE,54100.76,5310.79,2025-08-07,H195620,PENDANT LBL00078,PENDANT,916,10.25,9.97,0.081,9.133,1,DES2870,,5014,MAIN_STORE,11,2025-11-24 11:50:05.081504,Customer_28,Customer,Net 15,+918596523152,10–20 GM,GOLD NECKLACE,MAIN_STORE
50,V10049,2025-08-07,SALE,23,LBL00111,1,60.386,60.3,0.07,55.235,916,MAIN_STORE,341274.38,5582.69,2025-08-07,H168079,NECKLACE LBL00111,NECKLACE,916,60.386,60.3,0.07,55.235,1,DES5797,,5015,MAIN_STORE,13,2025-11-24 11:50:05.173062,Customer_23,Customer,Net 30,+918449606729,40+ GM,GOLD NECKLACE,MAIN_STORE
51,V10050,2025-08-07,SALE,46,LBL00207,1,33.961,33.908,0.013,31.06,916,MAIN_STORE,181141.54,5238.4,2025-08-07,H266744,BRACELET LBL00207,BRACELET,916,33.383,33.291,0.02,30.495,1,DES8903,,5012,MAIN_STORE,21,2025-11-24 11:50:05.417260,Customer_46,Customer,Net 30,+919451001264,30+ GM,GOLD BRACELET,MAIN_STORE
52,V10051,2025-08-07,SALE,41,LBL00221,1,9.898,9.548,0.04,8.746,916,MAIN_STORE,52733.82,5682.7,2025-08-07,H891662,PENDANT LBL00221,PENDANT,916,9.802,9.412,0.052,8.622,1,DES1003,,5004,MAIN_STORE,10,2025-11-24 11:50:05.451749,Customer_41,Customer,Net 0,+918289924514,0–10 GM,GOLD NECKLACE,MAIN_STORE
53,V10052,2025-08-07,SALE,3,LBL00104,1,13.405,12.825,0.0,11.748,916,MAIN_STORE,73446.21,5666.96,2025-08-07,H537211,EARRING LBL00104,EARRING,916,13.842,13.478,0.011,12.346,1,DES3920,,5005,MAIN_STORE,17,2025-11-24 11:50:05.155665,Customer_3,Customer,Net 30,+918141669467,10+ GM,GOLD EARRING,MAIN_STORE
54,V10053,2025-08-07,SALE,47,LBL00236,1,8.283,8.221,0.0,7.53,916,MAIN_STORE,45592.58,5646.04,2025-08-07,H500099,RING LBL00236,RING,916,7.754,7.381,0.087,6.761,1,DES8130,,5017,MAIN_STORE,8,2025-11-24 11:50:05.486881,Customer_47,Customer,Net 30,+917664494972,5–10 GM,GOLD RINGS,MAIN_STORE
55,V10054,2025-08-07,SALE,112,LBL00102,1,33.022,32.829,0.004,30.071,916,MAIN_STORE,178738.11,5782.07,2025-08-07,H978721,BANGLE LBL00102,BANGLE,916,30.884,30.814,0.057,28.226,1,DES5889,,5010,MAIN_STORE,21,2025-11-24 11:50:05.150463,Customer_112,Customer,Net 30,+918899277934,30+ GM,GOLD BRACELET,MAIN_STORE
56,V10055,2025-08-07,SALE,15,LBL00163,1,15.715,15.392,0.0,11.544,750,MAIN_STORE,69062.23,5474.8,2025-08-07,H809589,BANGLE LBL00163,BANGLE,750,15.444,15.072,0.0,11.304,1,DES3174,,5006,MAIN_STORE,20,2025-11-24 11:50:05.301456,Customer_15,Customer,Net 30,+919397199956,15–30 GM,GOLD BRACELET,MAIN_STORE
57,V10056,2025-08-08,SALE,14,LBL00061,1,10.269,10.173,0.0,9.318,916,MAIN_STORE,54472.48,5334.3,2025-08-08,H214626,EARRING LBL00061,EARRING,916,10.654,10.25,0.015,9.389,1,DES8399,,5014,MAIN_STORE,17,2025-11-24 11:50:05.026324,Customer_14,Customer,Net 30,+917768360597,10+ GM,GOLD EARRING,MAIN_STORE
58,V10057,2025-08-08,SALE,23,LBL00020,1,16.824,16.253,0.148,14.888,916,MAIN_STORE,96278.58,5764.43,2025-08-08,H625600,BANGLE LBL00020,BANGLE,916,17.186,16.62,0.082,15.224,1,DES5519,,5001,MAIN_STORE,20,2025-11-24 11:50:04.928409,Customer_23,Customer,Net 30,+918449606729,15–30 GM,GOLD BRACELET,MAIN_STORE
59,V10058,2025-08-08,SALE,88,LBL00115,1,41.652,41.097,0.064,37.645,916,MAIN_STORE,235889.34,5930.37,2025-08-08,H741784,CHAIN LBL00115,CHAIN,916,41.652,41.097,0.031,37.645,1,DES1953,,5003,MAIN_STORE,4,2025-11-24 11:50:05.183035,Customer_88,Customer,Net 30,+917211789542,20–50 GM,GOLD CHAINS,MAIN_STORE
60,V10059,2025-08-08,SALE,81,LBL00249,1,16.731,16.534,0.003,15.145,916,MAIN_STORE,88185.9,5541.18,2025-08-08,H472566,BANGLE LBL00249,BANGLE,916,15.949,15.805,0.087,14.477,1,DES4698,,5005,MAIN_STORE,20,2025-11-24 11:50:05.518992,Customer_81,Customer,Net 15,+919556073288,15–30 GM,GOLD BRACELET,MAIN_STORE
61,V10060,2025-08-09,SALE,8,LBL00152,1,9.672,9.454,0.0,8.66,916,MAIN_STORE,49280.99,5548.12,2025-08-09,H621199,PENDANT LBL00152,PENDANT,916,9.672,9.454,0.0,8.66,1,DES4893,,5011,MAIN_STORE,10,2025-11-24 11:50:05.271666,Customer_8,Customer,Net 0,+917434758564,0–10 GM,GOLD NECKLACE,MAIN_STORE
62,V10061,2025-08-09,SALE,37,LBL00213,1,5.854,5.799,0.0,3.392,585,MAIN_STORE,20209.01,5587.55,2025-08-09,H977394,PENDANT LBL00213,PENDANT,585,5.854,5.747,0.066,3.362,1,DES8972,,5003,MAIN_STORE,10,2025-11-24 11:50:05.432167,Customer_37,Customer,Net 0,+917148876024,0–10 GM,GOLD NECKLACE,MAIN_STORE
63,V10062,2025-08-09,SALE,102,LBL00142,1,9.662,9.216,0.0,8.442,916,MAIN_STORE,53171.33,5804.02,2025-08-09,H692385,EARRING LBL00142,EARRING,916,9.826,9.484,0.004,8.687,1,DES6169,,5017,MAIN_STORE,16,2025-11-24 11:50:05.247518,Customer_102,Customer,Net 15,+918389042400,5–10 GM,GOLD EARRING,MAIN_STORE
64,V10063,2025-08-09,SALE,78,LBL00083,1,9.706,9.415,0.0,8.624,916,MAIN_STORE,52674.66,5547.12,2025-08-09,H905579,CHAIN LBL00083,CHAIN,916,9.71,9.415,0.0,8.624,1,DES3799,,5010,MAIN_STORE,2,2025-11-24 11:50:05.097466,Customer_78,Customer,Net 0,+917657978181,5–10 GM,GOLD CHAINS,MAIN_STORE
65,V10064,2025-08-09,SALE,44,LBL00215,1,15.541,14.951,0.0,13.695,916,MAIN_STORE,76525.61,5348.38,2025-08-09,H682051,BANGLE LBL00215,BANGLE,916,14.239,13.889,0.002,12.722,1,DES2599,,5014,MAIN_STORE,19,2025-11-24 11:50:05.436950,Customer_44,Customer,Net 30,+918185226852,5–15 GM,GOLD BRACELET,MAIN_STORE
66,V10065,2025-08-09,SALE,57,LBL00113,1,11.38,11.061,0.016,10.132,916,MAIN_STORE,58567.65,5491.59,2025-08-09,H445200,EARRING LBL00113,EARRING,916,10.873,10.616,0.016,9.724,1,DES9635,,5013,MAIN_STORE,17,2025-11-24 11:50:05.178000,Customer_57,Customer,Net 30,+917331578205,10+ GM,GOLD EARRING,MAIN_STORE
67,V10066,2025-08-10,SALE,44,LBL00199,1,24.385,23.974,0.0,17.98,750,MAIN_STORE,104986.4,5687.82,2025-08-10,H601903,BRACELET LBL00199,BRACELET,750,24.68,24.399,0.0,18.299,1,DES8556,,5005,MAIN_STORE,20,2025-11-24 11:50:05.396429,Customer_44,Customer,Net 30,+918185226852,15–30 GM,GOLD BRACELET,MAIN_STORE
68,V10067,2025-08-10,SALE,72,LBL00025,1,15.864,15.454,0.005,14.156,916,MAIN_STORE,92275.45,5833.87,2025-08-10,H192059,EARRING LBL00025,EARRING,916,15.29,14.996,0.023,13.736,1,DES7262,,5016,MAIN_STORE,17,2025-11-24 11:50:04.940041,Customer_72,Customer,Net 15,+917232477787,10+ GM,GOLD EARRING,MAIN_STORE
69,V10068,2025-08-10,SALE,112,LBL00155,1,3.519,3.42,0.0,2.565,750,MAIN_STORE,14412.64,5326.12,2025-08-10,H217683,PENDANT LBL00155,PENDANT,750,3.538,3.242,0.034,2.432,1,DES7131,,5001,MAIN_STORE,10,2025-11-24 11:50:05.281638,Customer_112,Customer,Net 30,+918899277934,0–10 GM,GOLD NECKLACE,MAIN_STORE
70,V10069,2025-08-10,SALE,84,LBL00248,1,7.25,6.828,0.006,5.121,750,MAIN_STORE,30278.38,5731.82,2025-08-10,H544726,EARRING LBL00248,EARRING,750,7.061,6.828,0.027,5.121,1,DES8373,,5012,MAIN_STORE,16,2025-11-24 11:50:05.516648,Customer_84,Customer,Net 15,+918244608630,5–10 GM,GOLD EARRING,MAIN_STORE
